international_bank_bik;international_bank_name;bank_name;city;country_id;address
references=country_id:country(two_letter_code); keyColumns=international_bank_bik; actionType = ignore_not_empty

AAAARSBG;TELENOR BANKA AD;TELENOR BANKA AD;BEOGRAD;RS;11070 BEOGRAD, OMLADINSKIH BRIGADA 90V
AAACKWKW;ALMUZAINI EXCHANGE COMPANY KSC (CLOSED);ALMUZAINI EXCHANGE COMPANY KSC (CLOSED);KUWAIT;KW;13022 KUWAIT, OPPOSITE PUBLIC LIBRARY
AAADFRP1;ASSET ALLOCATION ADVISORS SA;ASSET ALLOCATION ADVISORS SA;PARIS;FR;75008 PARIS, 3, AVENUE HOCHE
AAAGFRP1;ASSOCIATION ADMINISTRATIVE AGRR;ASSOCIATION ADMINISTRATIVE AGRR;PARIS;FR;75008 PARIS, 10 RUE DU COLISEE
AAAJBG21;ARCUS ASSET MANAGEMENT JSC;ARCUS ASSET MANAGEMENT JSC;PLOVDIV;BG;4000 PLOVDIV, BUSINESS CENTER LEGIS
AAALSARI;ALAWWAL BANK;ALAWWAL BANK;ALKHOBAR;SA;ALKHOBAR,
AAAMFRP1;ALLIANZ ALTERNATIVE ASSET MANAGEMENT SA;ALLIANZ ALTERNATIVE ASSET MANAGEMENT SA;PARIS;FR;75009 PARIS, 20, RUE LE PELETIER
AAAPBGS1;ALARIC CAPITAL;ALARIC CAPITAL;SOFIA;BG;1301 SOFIA, EXARCH YOSIF 7
AAASTHB1;ASIA PLUS SECURITIES PUBLIC COMPANY LIMITED;ASIA PLUS SECURITIES PUBLIC COMPANY LIMITED;BANGKOK;TH;BANGKOK 10120, SATHORN CITY TOWER
AABAFI22;BANK OF ALAND PLC;BANK OF ALAND PLC;MARIEHAMN;FI;MARIEHAMN,
AABASESS;ALANDSBANKEN ABP (FINLAND),SVENSK FILIAL;ALANDSBANKEN ABP (FINLAND),SVENSK FILIAL;STOCKHOLM;SE;107 81 STOCKHOLM, STUREPLAN 19
AABSDE31;AACHENER BAUSPARKASSE AKTIENGESELLSCHAFT;AACHENER BAUSPARKASSE AKTIENGESELLSCHAFT;AACHEN;DE;52062 AACHEN, THEATERSTRASSE 92-94
AACBFR21;ALSACIENNE DE CREDIT-BAIL IMMOBILIER;ALSACIENNE DE CREDIT-BAIL IMMOBILIER;STRASBOURG;FR;67001 STRASBOURG CEDEX, 7 PLACE SEBASTIEN BRANT
AACCGB21;UBS CLEARING AND EXECUTION SERVICES LIMITED;UBS CLEARING AND EXECUTION SERVICES LIMITED;LONDON;GB;LONDON EC2M 3TY, 199 BISHOPSGATE
AACGECE1;CAJA DE AHORRO Y CREDITO EL INGENIO;CAJA DE AHORRO Y CREDITO EL INGENIO;LOJA;EC;LOJA, EL INGENIO (JUNTO A LA IGLESIA)
AACHDE31;'AACHENER' GRUNDVERMOEGEN-KAPITALANLAGEGESELLSCHAFT MIT BESCHRANKTER HAFTUNG;'AACHENER' GRUNDVERMOEGEN-KAPITALANLAGEGESELLSCHAFT MIT BESCHRANKTER HAFTUNG;KOELN;DE;50668 KOELN, WOERTHSTRASSE 32
