account_id;amount;beneficiary_name;beneficiary_tax_code;beneficiary_account;beneficiary_bank_code;RESIDENCY_ECONOMIC_CODE;VALUE_DATE;payment_purpose_code_id;purpose;id
references=id:document(document_number), account_id:accounts(account_number), payment_purpose_code_id:payment_purpose_code(code); keyColumns=id

KZ75125USD2069100102;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-03-02;995;Оплата за поставку оборудования;11/45A
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-03-02;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);11/46A
KZ75125USD2069100102;1000.00;;;;;;2016-12-31;979;rtrt;11/1A
KZ75125USD2069100102;1000.00;;;;;;2017-01-02;979;rtrt;11/2A

KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);1-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);2-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);3-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);4-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);5-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);6-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);7-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);8-17/1D
KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2017-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);9-17/1D

KZ75125USD2069100102;20000.00;LLC ChinaTrade;981140001115;DE89370400440532013000;CBGURUMMXXX;11;2017-01-12;995;Оплата за поставку оборудования из Китая;11/1I
KZ75125USD2069100102;60000.00;GeneralMotors corp.;981140001115;DE89370400440532013000;CBGURUMMXXX;11;2017-01-12;995;Оплата за поставку оборудования из США;11/2I
KZ75125USD2069100102;80000.00;Benito LLC;981140001115;DE89370400440532013000;CBGURUMMXXX;11;2017-01-12;995;Оплата за поставку оборудования из Италии;11/3I
KZ75125USD2069100102;11000.00;;;;;;2017-01-18;979;перевод валюты со счета на счет;11/5A
KZ75125KZT2069100100;12000.00;;;;;;2017-01-19;979;перевод валюты со счета на счет1;11/6A
KZ75125KZT2069101100;3454.44;ТОО Гранд;3232323;KZ75125KZT2069100100;CASPKZKA;11;2017-07-19;995;Оплата за сервисное обслуживание;11/45B
KZ75125KZT2069101100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;SENIKZKA;11;2016-10-02;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);11/46B
KZ75125USD2069101101;60000.00;Bayerische Motoren Werke AG;981140001115;DE89370400440532013000;AAAARSBG;11;2017-01-12;995;Оплата за поставку оборудования из Германии;12/2I
