id_1;customer_id;account_number;currency;account_type;alias;is_visible;bank_branch_id;balance;planned_balance;updated;arrested_amount;block_reason;display_order;default_alias;status;closed
references=bank_branch_id:bank_branch(code), customer_id:customer(name); keyColumns=account_number

1;Ахметов Асылхан Ералиевич;KZ75125KZT2069100100;KZT;Current;Бизнес-счет online;1;11;323.12;12323.12;2016-10-12 13:44:01;0;;1;Корпоративный Старт;Active;null
2;Ахметов Асылхан Ералиевич;KZ75125RUB2069100101;RUB;Card;Корпоративный +;1;11;1432384.32;1432384.32;2016-10-11 11:15:01;2;Решение суда;1.1;Корпоративный +;Active;null
3;Ахметов Асылхан Ералиевич;KZ75125USD2069100102;USD;Card;Корпоративный Макси;1;11;49834.34;49834.34;2016-10-11 11:15:01;0;;3;Корпоративный Макси;Active;null
4;Ахметов Асылхан Ералиевич;KZ75125EUR2069100103;EUR;Credit;Бизнес-кредит;1;11;0.0;0.0;2016-10-11 11:15:01;0;;4;Бизнес-кредит;Closed;2017-02-23
5;Ахметов Асылхан Ералиевич;KZ75125KZT2069100104;KZT;Card;Корпоративный Макси;1;11;434.11;434.11;2016-01-12 22:44:13;0;;5;Корпоративный Макси;Active;null
6;Ахметов Асылхан Ералиевич;KZ75125EUR2069100105;EUR;Card;Корпоративный Макси;1;11;15000.0;15000.0;2016-10-11 11:15:01;0;;6;Корпоративный Макси;Active;null
7;Ахметов Асылхан Ералиевич;KZ75125KZT2069100106;KZT;Card;Корпоративный Макси;1;11;101500000.0;101500000.0;2016-10-11 11:15:01;0;;7;Корпоративный Макси;Active;null
8;Ахметов Асылхан Ералиевич;KZ75125USD2069100107;USD;Card;Корпоративный Макси;0;11;0.0;0.0;2016-10-11 11:15:01;0;;8;Корпоративный Макси;Closed;2017-02-23
9;Ахметов Асылхан Ералиевич;KZ75125KZT2069100108;KZT;Deposit;с пополнением;0;11;0.0;0.0;2016-10-11 11:15:01;0;;9;с пополнением;Closed;2017-02-23
10;Ахметов Асылхан Ералиевич;KZ75125USD2069100109;USD;Deposit;накопительный;0;11;0.0;0.0;2016-10-11 11:15:01;0;;10;накопительный;Closed;2017-02-23
11;Ахметов Асылхан Ералиевич;KZ75125USD2069100110;USD;Deposit;накопительный;1;11;1000000.0;1000000.0;2016-10-11 11:15:01;0;;11;накопительный;Active;null
12;Ахметов Асылхан Ералиевич;KZ75125USD2069100111;USD;Deposit;накопительный;1;11;20000.0;20000.0;2016-10-11 11:15:01;0;;12;накопительный;Active;null
13;Ахметов Асылхан Ералиевич;KZ75125USD2069100112;USD;Deposit;накопительный;1;11;400000.0;400000.0;2016-10-11 11:15:01;0;;13;накопительный;Active;null
14;Ахметов Асылхан Ералиевич;KZ75125USD2069100113;USD;Deposit;накопительный;1;11;600000.0;600000.0;2016-10-11 11:15:01;0;;14;накопительный;Active;null
15;Ахметов Асылхан Ералиевич;KZ75125USD2069100114;USD;Deposit;накопительный;1;11;500000.0;500000.0;2016-10-11 11:15:01;0;;15;накопительный;Active;null
16;Ахметов Асылхан Ералиевич;KZ75125KZT2069100115;KZT;Credit;овердрафт;1;11;750000.00;750000.00;2016-10-11 11:15:01;16;Решение суда;45;овердрафт;Blocked;null
17;Ахметов Асылхан Ералиевич;KZ75125USD2069100116;USD;Credit;под депозит;1;11;1000000.00;1000000.00;2016-10-11 11:15:01;0;;17;под депозит;Active;null
