id_1;is_deleted;account_id;balance_date;closing_available_balance;closing_balance;closing_balance_national;credit_turn_over;credit_turn_over_national;currency;debet_turn_over;debet_turn_over_national;opening_balance;opening_balance_national;rate
references=account_id:accounts(account_number)

1;0;KZ75125KZT2069100100;2015-05-11;6;6;6;null;null;KZT;94;94;100;100;1
2;0;KZ75125KZT2069100100;2015-05-12;21;21;21;15;15;KZT;null;null;6;6;1
3;0;KZ75125KZT2069100100;2015-05-13;9;9;9;null;null;KZT;12;12;21;21;1
4;0;KZ75125KZT2069100100;2015-05-14;-41;-41;-41;null;null;KZT;50;50;9;9;1
5;0;KZ75125KZT2069100100;2015-05-15;-78;-78;-78;null;null;KZT;37;37;-41;-41;1
6;0;KZ75125KZT2069100100;2015-05-16;-155;-155;-155;null;null;KZT;77;77;-78;-78;1
7;0;KZ75125KZT2069100100;2015-05-17;-222;-222;-222;null;null;KZT;67;67;-155;-155;1
8;0;KZ75125KZT2069100100;2015-05-18;-205;-205;-205;17;17;KZT;null;null;-222;-222;1
9;0;KZ75125KZT2069100100;2015-05-19;-287;-287;-287;null;null;KZT;82;82;-205;-205;1
10;0;KZ75125KZT2069100100;2015-05-20;-261;-261;-261;26;26;KZT;null;null;-287;-287;1
11;0;KZ75125KZT2069100100;2015-05-21;-177;-177;-177;84;84;KZT;null;null;-261;-261;1
12;0;KZ75125KZT2069100100;2015-05-22;-78;-78;-78;99;99;KZT;null;null;-177;-177;1
13;0;KZ75125KZT2069100100;2015-05-23;-34;-34;-34;44;44;KZT;null;null;-78;-78;1
14;0;KZ75125KZT2069100100;2015-05-24;7;7;7;41;41;KZT;null;null;-34;-34;1
15;0;KZ75125KZT2069100100;2015-05-25;102;102;102;95;95;KZT;null;null;7;7;1
16;0;KZ75125KZT2069100100;2015-05-26;86;86;86;null;null;KZT;16;16;102;102;1
17;0;KZ75125KZT2069100100;2015-05-27;1;1;1;null;null;KZT;85;85;86;86;1
18;0;KZ75125KZT2069100100;2015-05-28;-18;-18;-18;null;null;KZT;19;19;1;1;1
19;0;KZ75125KZT2069100100;2015-05-29;-19;-19;-19;null;null;KZT;1;1;-18;-18;1
20;0;KZ75125KZT2069100100;2015-05-30;-76;-76;-76;null;null;KZT;57;57;-19;-19;1
21;0;KZ75125KZT2069100100;2015-05-31;-168;-168;-168;null;null;KZT;92;92;-76;-76;1
22;0;KZ75125KZT2069100100;2015-06-01;-183;-183;-183;null;null;KZT;15;15;-168;-168;1
23;0;KZ75125KZT2069100100;2015-06-02;-134;-134;-134;49;49;KZT;null;null;-183;-183;1
24;0;KZ75125KZT2069100100;2015-06-03;-92;-92;-92;42;42;KZT;null;null;-134;-134;1
25;0;KZ75125KZT2069100100;2015-06-04;-112;-112;-112;null;null;KZT;20;20;-92;-92;1
26;0;KZ75125KZT2069100100;2015-06-05;-142;-142;-142;null;null;KZT;30;30;-112;-112;1
27;0;KZ75125KZT2069100100;2015-06-06;-122;-122;-122;20;20;KZT;null;null;-142;-142;1
28;0;KZ75125KZT2069100100;2015-06-07;-109;-109;-109;13;13;KZT;null;null;-122;-122;1
29;0;KZ75125KZT2069100100;2015-06-08;-130;-130;-130;null;null;KZT;21;21;-109;-109;1
30;0;KZ75125KZT2069100100;2015-06-09;-57;-57;-57;73;73;KZT;null;null;-130;-130;1
31;0;KZ75125KZT2069100100;2015-06-10;25;25;25;82;82;KZT;null;null;-57;-57;1
32;0;KZ75125KZT2069100100;2015-06-11;93;93;93;68;68;KZT;null;null;25;25;1
33;0;KZ75125KZT2069100100;2015-06-12;113;113;113;20;20;KZT;null;null;93;93;1
34;0;KZ75125KZT2069100100;2015-06-13;41;41;41;null;null;KZT;72;72;113;113;1
35;0;KZ75125KZT2069100100;2015-06-14;82;82;82;41;41;KZT;null;null;41;41;1
36;0;KZ75125KZT2069100100;2015-06-15;48;48;48;null;null;KZT;34;34;82;82;1
37;0;KZ75125KZT2069100100;2015-06-16;52;52;52;4;4;KZT;null;null;48;48;1
38;0;KZ75125KZT2069100100;2015-06-17;138;138;138;86;86;KZT;null;null;52;52;1
39;0;KZ75125KZT2069100100;2015-06-18;214;214;214;76;76;KZT;null;null;138;138;1
40;0;KZ75125KZT2069100100;2015-06-19;129;129;129;null;null;KZT;85;85;214;214;1
41;0;KZ75125KZT2069100100;2015-06-20;56;56;56;null;null;KZT;73;73;129;129;1
42;0;KZ75125KZT2069100100;2015-06-21;92;92;92;36;36;KZT;null;null;56;56;1
43;0;KZ75125KZT2069100100;2015-06-22;43;43;43;null;null;KZT;49;49;92;92;1
44;0;KZ75125KZT2069100100;2015-06-23;-28;-28;-28;null;null;KZT;71;71;43;43;1
45;0;KZ75125KZT2069100100;2015-06-24;-21;-21;-21;7;7;KZT;null;null;-28;-28;1
46;0;KZ75125KZT2069100100;2015-06-25;-13;-13;-13;8;8;KZT;null;null;-21;-21;1
47;0;KZ75125KZT2069100100;2015-06-26;-25;-25;-25;null;null;KZT;12;12;-13;-13;1
48;0;KZ75125KZT2069100100;2015-06-27;-66;-66;-66;null;null;KZT;41;41;-25;-25;1
49;0;KZ75125KZT2069100100;2015-06-28;-98;-98;-98;null;null;KZT;32;32;-66;-66;1
50;0;KZ75125KZT2069100100;2015-06-29;-148;-148;-148;null;null;KZT;50;50;-98;-98;1
51;0;KZ75125KZT2069100100;2015-06-30;-51;-51;-51;97;97;KZT;null;null;-148;-148;1
52;0;KZ75125KZT2069100100;2015-07-01;-9;-9;-9;42;42;KZT;null;null;-51;-51;1
53;0;KZ75125KZT2069100100;2015-07-02;-94;-94;-94;null;null;KZT;85;85;-9;-9;1
54;0;KZ75125KZT2069100100;2015-07-03;-36;-36;-36;58;58;KZT;null;null;-94;-94;1
55;0;KZ75125KZT2069100100;2015-07-04;-8;-8;-8;28;28;KZT;null;null;-36;-36;1
56;0;KZ75125KZT2069100100;2015-07-05;89;89;89;97;97;KZT;null;null;-8;-8;1
57;0;KZ75125KZT2069100100;2015-07-06;67;67;67;null;null;KZT;22;22;89;89;1
58;0;KZ75125KZT2069100100;2015-07-07;4;4;4;null;null;KZT;63;63;67;67;1
59;0;KZ75125KZT2069100100;2015-07-08;-43;-43;-43;null;null;KZT;47;47;4;4;1
60;0;KZ75125KZT2069100100;2015-07-09;-142;-142;-142;null;null;KZT;99;99;-43;-43;1
61;0;KZ75125KZT2069100100;2015-07-10;-201;-201;-201;null;null;KZT;59;59;-142;-142;1
62;0;KZ75125KZT2069100100;2015-07-11;-158;-158;-158;43;43;KZT;null;null;-201;-201;1
63;0;KZ75125KZT2069100100;2015-07-12;-171;-171;-171;null;null;KZT;13;13;-158;-158;1
64;0;KZ75125KZT2069100100;2015-07-13;-260;-260;-260;null;null;KZT;89;89;-171;-171;1
65;0;KZ75125KZT2069100100;2015-07-14;-340;-340;-340;null;null;KZT;80;80;-260;-260;1
66;0;KZ75125KZT2069100100;2015-07-15;-422;-422;-422;null;null;KZT;82;82;-340;-340;1
67;0;KZ75125KZT2069100100;2015-07-16;-517;-517;-517;null;null;KZT;95;95;-422;-422;1
68;0;KZ75125KZT2069100100;2015-07-17;-569;-569;-569;null;null;KZT;52;52;-517;-517;1
69;0;KZ75125KZT2069100100;2015-07-18;-521;-521;-521;48;48;KZT;null;null;-569;-569;1
70;0;KZ75125KZT2069100100;2015-07-19;-612;-612;-612;null;null;KZT;91;91;-521;-521;1
71;0;KZ75125KZT2069100100;2015-07-20;-647;-647;-647;null;null;KZT;35;35;-612;-612;1
72;0;KZ75125KZT2069100100;2015-07-21;-744;-744;-744;null;null;KZT;97;97;-647;-647;1
73;0;KZ75125KZT2069100100;2015-07-22;-664;-664;-664;80;80;KZT;null;null;-744;-744;1
74;0;KZ75125KZT2069100100;2015-07-23;-699;-699;-699;null;null;KZT;35;35;-664;-664;1
75;0;KZ75125KZT2069100100;2015-07-24;-679;-679;-679;20;20;KZT;null;null;-699;-699;1
76;0;KZ75125KZT2069100100;2015-07-25;-593;-593;-593;86;86;KZT;null;null;-679;-679;1
77;0;KZ75125KZT2069100100;2015-07-26;-534;-534;-534;59;59;KZT;null;null;-593;-593;1
78;0;KZ75125KZT2069100100;2015-07-27;-515;-515;-515;19;19;KZT;null;null;-534;-534;1
79;0;KZ75125KZT2069100100;2015-07-28;-446;-446;-446;69;69;KZT;null;null;-515;-515;1
80;0;KZ75125KZT2069100100;2015-07-29;-397;-397;-397;49;49;KZT;null;null;-446;-446;1
81;0;KZ75125KZT2069100100;2015-07-30;-397;-397;-397;null;null;KZT;0;0;-397;-397;1
82;0;KZ75125KZT2069100100;2015-07-31;-445;-445;-445;null;null;KZT;48;48;-397;-397;1
83;0;KZ75125KZT2069100100;2015-08-01;-422;-422;-422;23;23;KZT;null;null;-445;-445;1
