id_1;account_id;amount;beneficiary_name;beneficiary_tax_code;beneficiary_account;beneficiary_bank_code;RESIDENCY_ECONOMIC_CODE;VALUE_DATE;payment_purpose_code_id;purpose;id
references=id:document(document_number), account_id:accounts(account_number), payment_purpose_code_id:payment_purpose_code(code); keyColumns=id

24;KZ75125USD2069100102;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-03-02;995;Оплата за поставку оборудования;11/45A
25;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-03-02;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);11/46A
27;KZ75125USD2069100102;1000.00;;;;;;2018-12-31;979;rtrt;11/1A
28;KZ75125USD2069100102;1000.00;;;;;;2018-01-02;979;rtrt;11/2A

29;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);17/1D
291;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);1-17/1D
292;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);2-17/1D
293;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);3-17/1D
294;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);4-17/1D
295;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);5-17/1D
296;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);6-17/1D
297;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);7-17/1D
298;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);8-17/1D
299;KZ75125KZT2069100100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;KKMFKZ2A;11;2018-01-09;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);9-17/1D

31;KZ75125USD2069100102;20000.00;LLC ChinaTrade;981140001115;DE89370400440532013000;ZZZZZZZZZZZ;11;2018-01-12;995;Оплата за поставку оборудования из Китая;11/1I
32;KZ75125USD2069100102;60000.00;GeneralMotors corp.;981140001115;DE89370400440532013000;ZZZZZZZZZZZ;11;2018-01-12;995;Оплата за поставку оборудования из США;11/2I
33;KZ75125USD2069100102;80000.00;Benito LLC;981140001115;DE89370400440532013000;ZZZZZZZZZZZ;11;2018-01-12;995;Оплата за поставку оборудования из Италии;11/3I
35;KZ75125USD2069100102;11000.00;;;;;;2018-01-18;979;перевод валюты со счета на счет;11/5A
36;KZ75125KZT2069100100;12000.00;;;;;;2018-01-19;979;перевод валюты со счета на счет1;11/6A
37;KZ75125KZT2069101100;3454.44;ТОО Гранд;3232323;KZ75125KZT2069100100;CASPKZKA;11;2018-07-19;995;Оплата за сервисное обслуживание;11/45B
38;KZ75125KZT2069101100;10000.00;ТОО Финансы2;981140001115;KZ416390122030000365;SENIKZKA;11;2018-10-02;995;Оплата за поставку оборудования (в том числе НДС =1 071,43);11/46B
39;KZ75125USD2069101101;60000.00;Bayerische Motoren Werke AG;981140001115;DE89370400440532013000;ZZZZZZZZZZZ;11;2018-01-12;995;Оплата за поставку оборудования из Германии;12/2I
40;KZ75125USD2069101101;80000.00;Bayerische Motoren Werke AG;981140001115;DE89370400440532013000;ZZZZZZZZZZZ;11;2018-01-12;995;Оплата за поставку автомобилей из Германии;12/3I
41;KZ75125KZT2069101100;11000.00;;;;;;2018-01-18;979;перевод валюты со счета на счет;12/4A
42;KZ75125KZT2069101100;12000.00;;;;;;2018-01-19;979;перевод валюты со счета на счет1;12/5A

