customer_id;account_number;currency;account_type;alias;is_visible;bank_branch_id;balance;planned_balance;updated;arrested_amount;block_reason;display_order;default_alias;status;closed
references=bank_branch_id:bank_branch(code), customer_id:customer(name); keyColumns=account_number
ТОО STATUS PLAST;KZ0377420US220317382;USD;Current;Бизнес пакет Лайт;1;11;12000.00;12000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО STATUS PLAST;KZ2677420KZ220317A1C;KZT;Current;Бизнес пакет Лайт;1;11;12000.00;12000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО STATUS PLAST;KZ9177420RU220317200;RUB;Current;Бизнес пакет Лайт;1;11;12000.00;12000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО STATUS PLAST;KZ2577420EU220317192;EUR;Current;Бизнес пакет Лайт;1;11;12000.00;12000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Арти-ЭК;KZ3077400RU220317046;RUB;Current;Бизнес пакет Лайт;1;11;11000.00;11000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Арти-ЭК;KZ7877400EU220317023;EUR;Current;Бизнес пакет Лайт;1;11;11000.00;11000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Арти-ЭК;KZ8177400US220317054;USD;Current;Бизнес пакет Лайт;1;11;11000.00;11000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Арти-ЭК;KZ9477400KZ220317117;KZT;Current;Бизнес пакет Лайт;1;11;11000.00;11000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Рауан;KZ2777490KZ220317167;KZT;Current;Бизнес пакет Лайт;1;11;10000.00;10000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Рауан;KZ4277490RU220317032;RUB;Current;Бизнес пакет Лайт;1;11;10000.00;10000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Рауан;KZ5477490KZ220317166;KZT;Current;Бизнес пакет Лайт;1;11;10000.00;10000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Рауан;KZ5777490EU220317021;EUR;Current;Бизнес пакет Лайт;1;11;10000.00;10000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Рауан;KZ6077490US220317052;USD;Current;Бизнес пакет Лайт;1;11;10000.00;10000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Рауан;KZ9377490CN220317009;CNY;Current;Бизнес пакет Лайт;1;11;10000.00;10000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Анега-Казахстан;KZ2077450KZ220317020;KZT;Current;Бизнес пакет Лайт;1;11;9000.00;9000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Анега-Казахстан;KZ2077450US220317014;USD;Current;Бизнес пакет Лайт;1;11;9000.00;9000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Анега-Казахстан;KZ7777450RU220317002;RUB;Current;Бизнес пакет Лайт;1;11;9000.00;9000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
Анега-Казахстан;KZ2577440KZ220317080;KZT;Current;Бизнес пакет Лайт;1;11;9000.00;9000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО Сигма-М;KZ6677490KZ220317047;KZT;Current;Бизнес пакет Лайт;1;11;91000.00;91000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО Сигма-М;KZ6677490KZ221517034;KZT;Current;Бизнес пакет Лайт;1;11;92000.00;92000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО Сигма-М;KZ0377490US220317011;USD;Current;Бизнес пакет Лайт;1;11;93000.00;93000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО Сигма-М;KZ0477490EU220317005;EUR;Current;Бизнес пакет Лайт;1;11;94000.00;94000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
ТОО Сигма-М;KZ1177490RU220317008;RUB;Current;Бизнес пакет Лайт;1;11;95000.00;95000.00;2016-10-11 11:14:01;0;;40;Бизнес пакет Лайт;Active;null
