login;user_password;salt;is_deleted;is_locked;short_name;user_position;phone;email;password_expiry;first_name;last_name;middle_name;is_force_password_change;iin;lock_time
keyColumns=login
login;DWXWPhmzdkJ0iQWCE1F1el02X9IGa98FiNFhrEg26A2KMSmvMgIlLCSiXoD2CsOvqBMUZiMz0VGIaoEGxtDRdg==;P2ocIK5UtSSLfKbI1I39IA==;0;0;Петров П.П.;Генеральный директор;+77777777775;email5@gmail.com;2016-01-02;Петр;Петров;Петрович;1;;null
user;UehkPvScYBE3Fbziok6lYyitagXYieuqgqmxjaE6oEfrysdIwuEbjb4qZjRQXHC/y7yqi1CDuJvB2KsxIPpcFQ==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Ходусов С.;Должность 5;+77777777775;email5@gmail.com;2016-01-02;Сергей;Ходусов;;0;850901300252;null
test;4Wb2rTBjb6lP0f96AHkVnOE460yoH/a6MRf0NjKevMzvmfK3Jy8mx38JGPsPT5E8A+emsTV2MJgKgcs7UE1pZQ==;IHqotXb4MTeZFyKp+J/z8w==;0;1;Джексон М.;Должность 5;+77777777775;email5@gmail.com;2016-01-02;Майкл;Джексон;;0;;null
cus;etFkRtK9jgpRQRzMVuSOC95kkBrfBgUuGiTJTcOoHhDbGdSv7M8bLbyuYiAZPa8EKuVt8TjKLeDGl8g86pdIOA==;Ixh2y3RqXDs/6e/4JQIqpw==;1;1;Иванов И.И.;Должность 5;+77777777775;email5@gmail.com;2016-01-02;Иван;Иванов;Иванович;0;;null
ss;zTfEtdmC2rST/FLWQM2h6fyWYvKQy8yWxrj5u699KwoShYNlqNPddyIio/4cn7jdxO/fRP58CIstUS25Klvh7A==;3e2TcZPuxtItUgczM5v7cA==;1;1;Вашингтон Д.;Должность 5;+77777777775;email5@gmail.com;2016-01-02;Джорж;Вашингтон;;0;;null
lex;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Грант У.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;;null
a;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;0;0;Айзенберг А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;;null
konst;FZpjhRqYK59g/L+eEL1WvBWZf9L+iTD8IYv+pp8/fu9AR27CioD8fk/HR+8mwI1Z0ceq9c09Enj1NKQ2QBKx8g==;LdbF4E7UztuCVIDm0Mt20A==;0;0;Войтков Константин;Должность 8;+77017778899;email8@gmail.com;2016-01-02;Константин;Войтков;?????;0;;null
evg;C2gOf1Kufc7gsfb0pdzb2DQ/6VGpou0I4+DNIOZvtaJdx66wCyxgmo3uhxhoLCvGZdaGHMZsLjbunc79sroxOA==;pZki57nx1ktMQI7fOI33QQ==;0;0;Кулик Е.;Должность 9;+77017778899;email8@gmail.com;2016-01-02;Кулик Евгений;Кулик Евгений;?????;0;;null
oks;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.К.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;null
lex2;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Грант У.С.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;;null
lex3;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Грант У.В.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;;null
lex4;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Грант У.А.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;;null
aa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;0;0;Айзенберг А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;;null
aaa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;0;0;Айзенберг А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;;null
aaaa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;0;0;Айзенберг А.А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;;null
oks1;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.Г.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;null
oks2;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.И.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;null
oks3;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.А.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;null
