counterparty_id;iban;bank_id;international_bank_city;international_bank_address;international_bank_account;international_agent_id;international_agent_city;international_agent_address;international_agent_account
references=counterparty_id:counterparty(bin), bank_id:bank(international_bank_bik), international_agent_id:bank(international_bank_bik); keyColumns=counterparty_id, iban, bank_id

111240013779;CH9300762011623852957;AAAARSBG;New York;New York 1;CH9300762011623852958;AAADFRP1;Berlin;Berlin 1;DE89370400440532013000
111140001115;DE89370400440532013000;AAADFRP1;Berlin;Berlin 1;DE89370400440532013000;AAACKWKW;Tokio;Tokio 1;JO94CBJO0010000000000131000302
111140001105;JO94CBJO0010000000000131000302;AAACKWKW;Tokio;Tokio 1;JO94CBJO0010000000000131000302;AAAARSBG;New York;New York 1;CH9300762011623852959
111140001115;CH9300762011623852956;AAADFRP1;Dresden;Dresden 1;DE89370400440532013000;AAACKWKW;Osaka;Osaka 1;JO94CBJO0010000000000131000302

221240013779;CH9300762011623852957;AAAARSBG;New York;New York 1;CH9300762011623852958;AAADFRP1;Berlin;Berlin 1;DE89370400440532013000
221240013779;DE89370400440532013000;AAADFRP1;Berlin;Berlin 1;DE89370400440532013000;AAACKWKW;Tokio;Tokio 1;JO94CBJO0010000000000131000302
221140001105;JO94CBJO0010000000000131000302;AAACKWKW;Tokio;Tokio 1;JO94CBJO0010000000000131000302;AAAARSBG;New York;New York 1;CH9300762011623852959
221140001115;CH9300762011623852956;AAADFRP1;Dresden;Dresden 1;DE89370400440532013000;AAACKWKW;Osaka;Osaka 1;JO94CBJO0010000000000131000302
