is_deleted;account_id;balance_date;closing_available_balance;closing_balance;closing_balance_national;credit_turn_over;credit_turn_over_national;currency;debet_turn_over;debet_turn_over_national;opening_balance;opening_balance_national;rate
references=account_id:accounts(account_number); actionType = ignore_not_empty

0;KZ75125KZT2069100100;2015-05-11;6;6;6;null;null;KZT;94;94;100;100;1
0;KZ75125KZT2069100100;2015-05-12;21;21;21;15;15;KZT;null;null;6;6;1
0;KZ75125KZT2069100100;2015-05-13;9;9;9;null;null;KZT;12;12;21;21;1
0;KZ75125KZT2069100100;2015-05-14;-41;-41;-41;null;null;KZT;50;50;9;9;1
0;KZ75125KZT2069100100;2015-05-15;-78;-78;-78;null;null;KZT;37;37;-41;-41;1
0;KZ75125KZT2069100100;2015-05-16;-155;-155;-155;null;null;KZT;77;77;-78;-78;1
0;KZ75125KZT2069100100;2015-05-17;-222;-222;-222;null;null;KZT;67;67;-155;-155;1
0;KZ75125KZT2069100100;2015-05-18;-205;-205;-205;17;17;KZT;null;null;-222;-222;1
0;KZ75125KZT2069100100;2015-05-19;-287;-287;-287;null;null;KZT;82;82;-205;-205;1
0;KZ75125KZT2069100100;2015-05-20;-261;-261;-261;26;26;KZT;null;null;-287;-287;1
0;KZ75125KZT2069100100;2015-05-21;-177;-177;-177;84;84;KZT;null;null;-261;-261;1
0;KZ75125KZT2069100100;2015-05-22;-78;-78;-78;99;99;KZT;null;null;-177;-177;1
0;KZ75125KZT2069100100;2015-05-23;-34;-34;-34;44;44;KZT;null;null;-78;-78;1
0;KZ75125KZT2069100100;2015-05-24;7;7;7;41;41;KZT;null;null;-34;-34;1
0;KZ75125KZT2069100100;2015-05-25;102;102;102;95;95;KZT;null;null;7;7;1
0;KZ75125KZT2069100100;2015-05-26;86;86;86;null;null;KZT;16;16;102;102;1
0;KZ75125KZT2069100100;2015-05-27;1;1;1;null;null;KZT;85;85;86;86;1
0;KZ75125KZT2069100100;2015-05-28;-18;-18;-18;null;null;KZT;19;19;1;1;1
0;KZ75125KZT2069100100;2015-05-29;-19;-19;-19;null;null;KZT;1;1;-18;-18;1
0;KZ75125KZT2069100100;2015-05-30;-76;-76;-76;null;null;KZT;57;57;-19;-19;1
0;KZ75125KZT2069100100;2015-05-31;-168;-168;-168;null;null;KZT;92;92;-76;-76;1
0;KZ75125KZT2069100100;2015-06-01;-183;-183;-183;null;null;KZT;15;15;-168;-168;1
0;KZ75125KZT2069100100;2015-06-02;-134;-134;-134;49;49;KZT;null;null;-183;-183;1
0;KZ75125KZT2069100100;2015-06-03;-92;-92;-92;42;42;KZT;null;null;-134;-134;1
0;KZ75125KZT2069100100;2015-06-04;-112;-112;-112;null;null;KZT;20;20;-92;-92;1
0;KZ75125KZT2069100100;2015-06-05;-142;-142;-142;null;null;KZT;30;30;-112;-112;1
0;KZ75125KZT2069100100;2015-06-06;-122;-122;-122;20;20;KZT;null;null;-142;-142;1
0;KZ75125KZT2069100100;2015-06-07;-109;-109;-109;13;13;KZT;null;null;-122;-122;1
0;KZ75125KZT2069100100;2015-06-08;-130;-130;-130;null;null;KZT;21;21;-109;-109;1
0;KZ75125KZT2069100100;2015-06-09;-57;-57;-57;73;73;KZT;null;null;-130;-130;1
0;KZ75125KZT2069100100;2015-06-10;25;25;25;82;82;KZT;null;null;-57;-57;1
0;KZ75125KZT2069100100;2015-06-11;93;93;93;68;68;KZT;null;null;25;25;1
0;KZ75125KZT2069100100;2015-06-12;113;113;113;20;20;KZT;null;null;93;93;1
0;KZ75125KZT2069100100;2015-06-13;41;41;41;null;null;KZT;72;72;113;113;1
0;KZ75125KZT2069100100;2015-06-14;82;82;82;41;41;KZT;null;null;41;41;1
0;KZ75125KZT2069100100;2015-06-15;48;48;48;null;null;KZT;34;34;82;82;1
