external_id;company_id;user_account_id;manager_id;valid_from;valid_to;sign_level;otp_id;is_registered_on_vc;dn;organization_role;quick_links;is_default_person_for_user
references=company_id:customer(name), user_account_id:customer_user(login), manager_id:manager(login), otp_id:otp_token(serial); keyColumns=external_id

1;ТОО БЕТОН;login;null;null;null;A;12345678;0;;head;;0
2;ТОО БЕТОН;user;null;null;null;A;12345677;1;C=KZ, O=ТОО InFin-IT Solution, CN=Ходусов Сергей, UID=IIN850901300252;operator;;1
3;ТОО БЕТОН;test;null;null;null;B;12345676;0;;operator;;0
5;АО Самсунг-Казахстан;cus;null;null;null;C;AJ097968;0;;operator;;0
6;ТОО БЕТОН;ss;null;null;null;C;null;0;;operator;;0
7;ТОО БЕТОН;lex;null;null;null;C;null;0;;operator;;0
8;ТОО БЕТОН;a;null;null;null;C;null;0;;operator;;0
9;ТОО БЕТОН;konst;null;null;null;C;null;0;;operator;;0
10;ТОО БЕТОН;evg;null;null;null;C;null;0;;operator;;0
11;ТОО БЕТОН;oks;null;null;null;C;AJ097968;0;;operator;;0
12;ТОО БЕТОН;lex2;null;null;null;C;null;0;;operator;;0
13;ТОО БЕТОН;lex3;null;null;null;C;null;0;;operator;;0
14;ТОО БЕТОН;lex4;null;null;null;C;null;0;;operator;;0
15;ТОО БЕТОН;aa;null;null;null;C;null;0;;operator;;0
16;ТОО БЕТОН;aaa;null;null;null;C;null;0;;operator;;0
17;ТОО БЕТОН;aaaa;null;null;null;C;null;0;;operator;;0
18;ТОО БЕТОН;oks1;null;null;null;C;null;0;;operator;;0
19;ТОО БЕТОН;oks2;null;null;null;C;null;0;;operator;;0
20;ТОО БЕТОН;oks3;null;null;null;C;null;0;;operator;;0
21;АО Самсунг-Казахстан;aa;null;null;null;C;null;0;;operator;;0
22;ТОО ЦЕМЕНТ;aa;null;null;null;C;null;0;;operator;;0
23;АО Самсунг-Казахстан;user;null;null;null;A;null;0;;head;;0
24;ТОО ЦЕМЕНТ;user;null;null;null;C;null;0;;operator;;0
25;АО Самсунг-Казахстан;oks;null;null;null;A;null;0;;head;;0
26;ТОО ЦЕМЕНТ;oks;null;null;null;B;null;0;;accountant;;0
27;АО Самсунг-Казахстан;oks1;null;null;null;C;null;0;;operator;;0
28;ТОО ЦЕМЕНТ;oks1;null;null;null;A;null;0;;head;;0
29;АО Самсунг-Казахстан;oks2;null;null;null;B;null;0;;accountant;;0
30;ТОО ЦЕМЕНТ;oks2;null;null;null;C;null;0;;operator;;0
31;АО Самсунг-Казахстан;oks3;null;null;null;A;null;0;;head;;0
32;ТОО ЦЕМЕНТ;oks3;null;null;null;B;null;0;;accountant;;0
33;ТОО БЕТОН;test1;null;null;null;B;12345677;0;;accountant;;0
34;ТОО БЕТОН;lengard;null;null;null;A;12345677;0;;operator;;0
35;ТОО БЕТОН;makarov;null;null;null;A;12345677;0;;operator;;0
36;ТОО БЕТОН;borodin;null;null;null;B;12345677;0;;operator;;0
37;ТОО БЕТОН;sautov;null;null;null;C;12345677;0;;operator;;0
38;ТОО БЕТОН;kaibar;null;null;null;C;12345677;0;;operator;;0
39;ТОО БЕТОН;alena;null;null;null;C;12345677;1;C=KZ, O=ТОО InFin-IT Solution, CN=Зарецкая Алёна, UID=IIN680121450185;operator;;0
40;ТОО БЕТОН;k;null;null;null;C;12345677;0;;operator;;0
41;ТОО БЕТОН;kk;null;null;null;C;12345677;0;;operator;;0
42;ТОО БЕТОН;kkk;null;null;null;C;12345677;0;;operator;;0
43;ТОО БЕТОН;y;null;null;null;B;12345677;0;;operator;;0
44;АО Самсунг-Казахстан;yy;null;null;null;B;12345677;0;;operator;;0
45;ТОО ЦЕМЕНТ;yyy;null;null;null;B;12345677;0;;operator;;0
46;ТОО БЕТОН;v;null;null;null;C;12345677;0;;operator;;0
47;АО Самсунг-Казахстан;vv;null;null;null;C;12345677;0;;operator;;0
48;ТОО БЕТОН;vvv;null;null;null;C;12345677;0;;operator;;0
49;ТОО БЕТОН;aibek;null;null;null;A;null;0;;operator;;0
50;АО Самсунг-Казахстан;aibek;null;null;null;B;null;0;;accountant;;0
51;ТОО ЦЕМЕНТ;aibek;null;null;null;C;null;0;;operator;;0
52;АО Самсунг-Казахстан;vvv;null;null;null;B;null;0;;accountant;;0
53;ТОО ЦЕМЕНТ;vvv;null;null;null;C;null;0;;operator;;0
54;ТОО БЕТОН;vv;null;null;null;C;12345677;0;;operator;;1
55;ТОО ЦЕМЕНТ;vv;null;null;null;C;12345677;0;;operator;;0
56;ТОО БЕТОН;anara;null;null;null;C;12345677;0;;operator;;0
57;АО Самсунг-Казахстан;anara;null;null;null;C;12345677;0;;operator;;0
58;ТОО ЦЕМЕНТ;anara;null;null;null;C;12345677;0;;operator;;0
59;ТОО БЕТОН;sergey;null;null;null;C;12345677;0;;operator;;0
60;АО Самсунг-Казахстан;sergey;null;null;null;C;12345677;0;;operator;;0
61;ТОО ЦЕМЕНТ;sergey;null;null;null;C;12345677;0;;operator;;0
62;Частный клиент;7727258150;null;null;null;A;null;0;;head;;0
63;АО Самсунг-Казахстан;lex;null;null;null;B;null;0;;operator;;0
64;ТОО ЦЕМЕНТ;lex;null;null;null;C;null;0;;operator;;0
65;АО Самсунг-Казахстан;lex2;null;null;null;A;null;0;;operator;;0
66;ТОО ЦЕМЕНТ;lex2;null;null;null;B;null;0;;operator;;0
67;АО Самсунг-Казахстан;lex3;null;null;null;C;null;0;;operator;;0
68;ТОО ЦЕМЕНТ;lex3;null;null;null;A;null;0;;operator;;0
69;ТОО БЕТОН;qqq;null;null;null;B;null;0;;operator;;0
70;АО Самсунг-Казахстан;qqq;null;null;null;B;null;0;;operator;;0
71;ТОО ЦЕМЕНТ;qqq;null;null;2017-01-01 23:00:00;B;null;0;;operator;;1
72;ТОО БЕТОН;m;null;null;null;B;null;0;;operator;;0
73;АО Самсунг-Казахстан;m;null;null;null;B;null;0;;operator;;0
74;ТОО ЦЕМЕНТ;m;null;null;null;B;null;0;;operator;;0
75;ТОО БЕТОН;mm;null;null;null;B;null;0;;operator;;0
76;АО Самсунг-Казахстан;mm;null;null;null;B;null;0;;operator;;0
77;ТОО ЦЕМЕНТ;mm;null;null;null;B;null;0;;operator;;0
78;ТОО БЕТОН;mmm;null;null;null;B;null;0;;operator;;0
79;АО Самсунг-Казахстан;mmm;null;null;null;B;null;0;;operator;;0
80;ТОО ЦЕМЕНТ;mmm;null;null;null;B;null;0;;operator;;0
81;ТОО БЕТОН;test_customer;null;null;null;A;12345677;1;;operator;;1
83;Частный клиент;test_customer;null;null;null;A;12345677;1;;operator;;1
82;Частный клиент;user;null;null;null;A;12345677;0;;head;;0
