id_1;customer_id;created;document_number;document_state;document_type;director_id;workflow_state_id;custom_request_type_id;is_template;template_name;bank_response;manager
references=director_id:company_person(external_id), customer_id:customer(name), workflow_state_id:workflow_state(external_id); keyColumns=document_number, customer_id, created

24;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/45A;SentToRBS;DomesticTransfer;1;6;null;0;null;null;
25;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/46A;SentToRBS;DomesticTransfer;1;6;null;0;null;null;
27;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/1A;Draft;AccountTransfer;1;2;null;0;null;null;
28;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/2A;Draft;AccountTransfer;1;2;null;0;null;null;
29;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
291;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;1-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
292;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;2-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
293;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;3-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
294;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;4-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
295;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;5-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
296;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;6-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
297;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;7-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
298;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;8-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
299;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;9-17/1D;AwaitsSignature;DomesticTransfer;1;3;null;0;null;null;
30;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/45A1;Draft;DocumentWithdraw;1;13;null;0;null;null;
31;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/1I;Draft;InternationalTransfer;1;2;null;0;null;null;
32;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/2I;AwaitsSignature;InternationalTransfer;1;3;null;0;null;null;
33;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/3I;AcceptedInRBS;InternationalTransfer;1;7;null;0;null;null;
35;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/5A;AcceptedInRBS;AccountTransfer;1;7;null;0;null;null;
36;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/6A;AcceptedInRBS;AccountTransfer;1;7;null;0;null;null;
37;Омаров Алихан Арсенович;2017-06-01 08:00:00;11/45B;Draft;DomesticTransfer;62;2;null;0;null;null;
38;Омаров Алихан Арсенович;2017-06-01 08:00:00;11/46B;AcceptedInRBS;DomesticTransfer;62;7;null;0;null;null;
39;Омаров Алихан Арсенович;2017-06-01 08:00:00;12/2I;AwaitsSignature;InternationalTransfer;62;3;null;0;null;;
40;Омаров Алихан Арсенович;2017-06-01 08:00:00;12/3I;Draft;InternationalTransfer;62;2;null;0;null;;
41;Омаров Алихан Арсенович;2017-06-01 08:00:00;12/4A;AcceptedInRBS;AccountTransfer;62;7;null;0;null;;
42;Омаров Алихан Арсенович;2017-06-01 08:00:00;12/5A;AcceptedInRBS;AccountTransfer;62;7;null;0;null;;
57;Ахметов Асылхан Ералиевич;2017-06-01 08:00:00;11/6AI;Draft;DocumentWithdraw;1;13;null;0;null;;

